	Node	Cluster_0.1	Cluster_0.195	Cluster_0.29000000000000004	Cluster_0.385	Cluster_0.48	Cluster_0.575	Cluster_0.67	Cluster_0.765	Cluster_0.86	Cluster_0.955	Cluster_1.05	Cluster_1.145	Cluster_1.2400000000000002	Cluster_1.3350000000000002	Cluster_1.4300000000000002	Cluster_1.5250000000000001	Cluster_1.62	Cluster_1.715	Cluster_1.81	Cluster_1.905	Cluster_2.0
237	237	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
238	238	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
239	239	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
240	240	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
241	241	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
242	242	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
243	243	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
244	244	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
245	245	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
246	246	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
247	247	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
248	248	0	0	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2
249	249	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
250	250	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
251	251	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
252	252	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
253	253	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
254	254	0	0	2	2	2	2	2	2	0	0	0	2	2	2	2	2	2	1	1	1	1
255	255	0	2	2	2	2	2	2	2	0	0	0	2	2	2	2	2	2	1	1	1	1
256	256	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
257	257	0	2	2	2	2	2	2	2	0	0	0	2	2	2	2	2	2	1	1	1	1
258	258	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
